Calories,Fat (g),Protein (g),Carbohydrate (g),Sugars (g),Fiber (g),Saturated Fats (g),Calcium (mg),"Iron, Fe (mg)","Potassium, K (mg)",Magnesium (mg),Net-Carbs (g),Water (g),Omega 3s (mg),Omega 6s (mg),PRAL score,"Phosphorus, P (mg)",Sodium (mg),"Zinc, Zn (mg)","Copper, Cu (mg)","Selenium, Se (mcg)",Thiamin (B1) (mg),Riboflavin (B2) (mg),Niacin (B3) (mg),Vitamin B6 (mg),Folate (B9) (mcg),Folic acid (mcg),Food Folate (mcg),Retinol (mcg),"Carotene, beta (mcg)","Carotene, alpha (mcg)",Lycopene (mcg),Lutein + Zeaxanthin (mcg),"Fatty acids, total monounsaturated (mg)","Fatty acids, total polyunsaturated (mg)",20:5 n-3 (EPA) (mg),22:5 n-3 (DPA) (mg),22:6 n-3 (DHA) (mg),Caffeine (mg),Theobromine (mg),Price per Weight (£/100Gram),GHG(kgco3eq/100g)
453.0,15.84,11.25,66.3,0.86,10.2,2.069,238.0,2.83,381.0,164.0,56.1,3.59,932.0,5044.0,3.904,374.0,438.0,2.64,0.5489999999999999,17.4,0.20800000000000002,0.17300000000000001,4.833,0.37,35.0,0.0,35.0,0.0,4.0,0.0,0.0,174.0,7004.0,5981.0,8.0,0.0,0.0,0.0,0.0,1.2408759120000001,0.1441
188.0,9.06,25.08,0.1,0.04,0.0,1.494,9.0,0.48,449.0,33.0,0.1,65.46,775.0,1426.0,13.633,319.0,405.0,0.48,0.078,38.4,0.08800000000000001,0.122,9.292,0.6729999999999999,5.0,0.0,5.0,39.0,0.0,0.0,0.0,0.0,3188.0,2506.0,223.0,57.0,407.0,0.0,0.0,1.153846154,0.3982
187.0,11.3,21.1,0.3,0.0,0.0,3.5469999999999997,6.0,2.66,360.0,24.0,0.3,66.4,8.0,365.0,9.878,212.0,89.0,7.87,0.14400000000000002,25.3,0.08900000000000001,0.237,3.804,0.423,3.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,4801.0,358.0,1.0,7.0,0.0,0.0,0.0,1.2,5.957000000000001
296.0,0.99,9.58,75.37,2.21,11.5,0.225,11.0,1.72,1534.0,132.0,63.87,9.5,13.0,138.0,-20.41,294.0,13.0,7.66,5.165,46.1,0.3,1.27,14.1,0.965,163.0,0.0,163.0,0.0,0.0,0.0,0.0,0.0,317.0,151.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0455
264.0,1.32,10.56,52.38,8.43,1.6,0.36,105.0,3.57,107.0,29.0,50.78,33.81,24.0,503.0,4.452,99.0,422.0,0.83,0.128,21.5,0.568,0.344,4.515,0.07,106.0,82.0,24.0,0.0,0.0,0.0,0.0,0.0,390.0,526.0,0.0,0.0,0.0,0.0,0.0,0.4,0.1441
43.0,0.06,1.59,9.02,8.13,0.0,0.04,58.0,0.03,103.0,22.0,9.02,88.83,0.0,15.0,-0.7290000000000001,54.0,37.0,0.26,0.046,1.6,0.022000000000000002,0.115,0.8590000000000001,0.018000000000000002,3.0,0.0,3.0,29.0,0.0,0.0,0.0,0.0,10.0,16.0,0.0,0.0,0.0,2.0,16.0,0.484848485,1.6477
624.0,53.12,23.5,18.27,8.42,6.4,10.272,60.0,2.29,688.0,166.0,11.87,1.58,59.0,14219.0,4.506,342.0,154.0,3.01,0.591,6.6,0.133,0.157,14.748,0.456,116.0,0.0,116.0,0.0,0.0,0.0,0.0,0.0,26469.0,14400.0,0.0,0.0,0.0,0.0,0.0,0.382352941,0.2497
278.0,22.15,18.12,0.12,0.0,0.0,8.939,15.0,1.68,281.0,19.0,0.12,58.8,265.0,542.0,8.397,166.0,61.0,4.42,0.079,19.3,0.06,0.135,4.098,0.40299999999999997,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,9485.0,843.0,0.0,0.0,0.0,0.0,0.0,0.9,5.957000000000001
240.0,0.38,2.18,63.88,38.13,7.1,0.08800000000000001,43.0,0.93,732.0,41.0,56.78,30.92,17.0,44.0,-13.460999999999999,69.0,2.0,0.44,0.281,0.3,0.051,0.18600000000000003,1.882,0.205,4.0,0.0,4.0,0.0,394.0,57.0,0.0,148.0,53.0,62.0,0.0,0.0,0.0,0.0,0.0,0.6,0.1214
292.0,5.48,26.63,50.64,7.27,26.7,1.3780000000000001,1140.0,22.04,2683.0,400.0,23.94,5.89,1860.0,1264.0,-52.771,436.0,452.0,5.44,0.78,14.1,0.196,2.383,9.943,0.9,180.0,0.0,180.0,0.0,1152.0,17.0,0.0,2428.0,761.0,3124.0,0.0,0.0,0.0,0.0,0.0,7.727272727000001,0.09699999999999999
